date,score
2008-07-03,0.14780322017164124
2008-07-10,0.04763130493244128
2008-07-20,0.15752822341057637
2008-07-21,0.04995169082125605
2015-03-03,0.1455568887634105
2015-03-05,0.10629790113812668
2015-03-10,0.06600203717850775
2015-03-19,0.21632988721804514
2015-03-12,0.07915646258503402
2015-03-19,0.12240351273933366
2015-03-27,0.052161788828455485
2015-03-31,0.11275426820370642
2007-03-01,0.03045454545454545
2007-03-01,-0.06026234567901234
2007-03-06,0.05559375265257619
2007-03-06,0.05447037947037947
2007-03-06,0.09702380952380953
2007-03-09,0.08888888888888888
2007-03-09,0.06604406130268199
2007-03-21,-0.01618923611111111
2007-03-27,0.08384986225895319
2007-03-28,0.07141900050063318
2007-03-30,0.05320625610948193
2014-05-31,0.08927541786916787
2014-06-19,0.21067099567099562
2014-06-04,0.16354456076538676
2014-06-04,0.14657081014223872
